Artist;Song name;Album name;Year;Genre;Length;;;;
;;;;;;;;;
;;;;;;;;;
Teoalida's Music Database;;;;;;;;;
6000+ songs that I downloaded, listened and rated according my preferrences;;;;;;;;;
Copyright 2005-2016 - www.teoalida.com/database/music;;;;;;;;;
You are not allowed to distribute or post this file on other websites!;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Ace of Base;;;;;#REF!;;;;
Alan Jackson;It Must Be Love;Under the Influence;1999;Country;02:51;;;;
Alan Jackson;Once You've Had the Best;Under the Influence;1999;Country;04:11;;;;
Alan Jackson & Jimmy Buffett;Margaritaville;Under the Influence;1999;Country;04:15;;;;
Alan Jackson;Meat and Potato Man;When Somebody Loves You;2000;Country;02:28;;;;
Alan Jackson;When Somebody Loves You;When Somebody Loves You;2000;Country;03:27;;;;
Alan Jackson;The Thrill Is Back;When Somebody Loves You;2000;Country;02:44;;;;
Alan Jackson;WWW.Memory;When Somebody Loves You;2000;Country;02:34;;;;
Alan Jackson;Where I Come From;When Somebody Loves You;2000;Country;04:02;;;;
Alan Jackson;I Still Love You;When Somebody Loves You;2000;Country;03:19;;;;
Alan Jackson;Life or Love;When Somebody Loves You;2000;Country;02:30;;;;
Alan Jackson;A Love Like That;When Somebody Loves You;2000;Country;03:28;;;;
Alan Jackson;It's Alright to Be a Redneck;When Somebody Loves You;2000;Country;02:44;;;;
Alan Jackson;Maybe I Should Stay Here;When Somebody Loves You;2000;Country;03:32;;;;
Alan Jackson;Three Minute Positive Not Too Country Up-Tempo Love Song;When Somebody Loves You;2000;Country;03:02;;;;
Alan Jackson;Drive (For Daddy Gene);Drive;2002;Country;04:02;;;;
Alan Jackson;A Little Bluer Than That;Drive;2002;Country;02:54;;;;
Alan Jackson;Bring on the Night;Drive;2002;Country;04:03;;;;
Alan Jackson;Work in Progress;Drive;2002;Country;04:07;;;;
Alan Jackson;The Sounds;Drive;2002;Country;03:23;;;;
Alan Jackson & George Strait;Designated Drinker;Drive;2002;Country;03:50;;;;
Alan Jackson;Where Were You (When the World Stopped Turning);Drive;2002;Country;05:05;;;;
Alan Jackson;That'd Be Alright;Drive;2002;Country;03:41;;;;
Alan Jackson;Once in a Lifetime Love;Drive;2002;Country;03:26;;;;
Alan Jackson;When Love Comes Around;Drive;2002;Country;03:05;;;;
Alan Jackson;I Slipped and Fell in Love;Drive;2002;Country;02:55;;;;
Alan Jackson;First Love;Drive;2002;Country;03:09;;;;
Alan Jackson;Where Were You (When the World Stopped Turning) [Live];Drive;2002;Country;05:47;;;;
Alan Jackson;Have Yourself a Merry Little Christmas;Let It Be Christmas;2002;Country;02:58;;;;
Alan Jackson;Winter Wonderland;Let It Be Christmas;2002;Country;02:18;;;;
Alan Jackson;O Come, All Ye Faithful;Let It Be Christmas;2002;Country;03:18;;;;
Alan Jackson;Santa Claus Is Comin' to Town;Let It Be Christmas;2002;Country;02:42;;;;
Alan Jackson;The Christmas Song;Let It Be Christmas;2002;Country;03:52;;;;
Alan Jackson;Silent Night;Let It Be Christmas;2002;Country;03:47;;;;
Alan Jackson;Let It Be Christmas;Let It Be Christmas;2002;Country;04:11;;;;
Alan Jackson;Jingle Bells;Let It Be Christmas;2002;Country;02:49;;;;
Alan Jackson;White Christmas;Let It Be Christmas;2002;Country;03:18;;;;
